respondent_id,year,country_raw,education_raw,job_role_raw,primary_language_raw,ml_tools_raw,years_experience_raw,salary_usd_raw,remote_work_raw,preferred_ide_raw,learning_platform_raw
100042,2017,Bangladesh,BS,Machine Learning Engineer,JavaScript,Keras;LightGBM;TensorFlow,5-10,135476.44587750928,Hybrid,Spyder,University
100043,2021,United Kingdom,Diploma/Other,Data Scientist,python,LightGBM,1.5,"$83,682",Hybrid,VS Code,Coursera
100044,2018,uk,Doctorate,Data Analyst,JS,Keras;PyTorch;TensorFlow,7,107251.18222768288,Y,Spyder,Coursera
100045,2020,USA,high School,Data Analyst,C#,Keras;scikit-learn,12,60174.62549506414,N,PyCharm,University
100046,2018,Bangladesh,High school,Machine Learning Engineer,SQL,Keras;None;scikit-learn,5-10,124415.79252726353,No,Notepad++,Coursera
100047,2019,Canada,Doctorate,Business Analyst,sql,LightGBM;XGBoost,3-5,102554.78184469404,No,PyCharm,Books
100048,2020,BD,Diploma/Other,Student,Python,LightGBM;TensorFlow,0,23865.490374921177,Y,Notepad++,Books
100049,2018,IND,BS,Data Analyst,python,PyTorch,0-1,87224.56150906268,Y,PyCharm,Udemy
100050,2021,DE,BA,Machine Learning Engineer,R,TensorFlow;scikit-learn,5-10,135522.8745030656,Y,JupyterLab,Kaggle
100051,2021,U.S.A.,Doctorate,Machine Learning Engineer,SQL,LightGBM;PyTorch;XGBoost,7,135783.59076596165,Hybrid,VS Code,Coursera
100052,2021,United Kingdom,Bachelors,Data Engineer,r,None;scikit-learn,12,"$65,111",Y,JupyterLab,Blogs
100053,2021,uk,Masters,Data Engineer,C#,scikit-learn,1.5,196507.99950903878,N,PyCharm,Kaggle
100054,2020,US,ph.d,Student,Python,None;XGBoost,5-10,36139.73139914128,Hybrid,RStudio,Coursera
100055,2021,Australia,Diploma/Other,Software Engineer,JavaScript,Keras;LightGBM,1-3,97697.84302362059,Hybrid,Spyder,Kaggle
100056,2017,Australia,Masters,Software Engineer,sql,LightGBM,10+,81886.91043108847,N,PyCharm,Udemy
100057,2018,Germany,PhD,Student,JS,LightGBM,3-5,"$14,307",N,Spyder,Kaggle
100058,2017,CAN,MS,Data Scientist,r,Keras;PyTorch;TensorFlow,12,222413.29392672505,N,Notepad++,Kaggle
100059,2019,DE,Master's,Researcher,JS,TensorFlow,7,154461.50476968838,Y,Notepad++,Udemy
100060,2019,Australia,high School,Machine Learning Engineer,C#,LightGBM,12,109861.79392193032,Hybrid,VS Code,Books
100061,2018,IND,PhD,Machine Learning Engineer,R,None;TensorFlow,3-5,"$143,873",Yes,VS Code,Udemy
100062,2021,Nigeria,MSc,data scientist,Java,PyTorch,12,"$91,526",No,Notepad++,Blogs
100063,2019,CAN,Master's,Student,R,LightGBM;TensorFlow,0-1,23045.645344836532,Yes,RStudio,Udemy
100064,2018,BD,Doctorate,Business Analyst,Java,scikit-learn,7,122881.60834338742,No,VS Code,University
100065,2020,Bangladesh,Doctorate,Researcher,JS,LightGBM;None;XGBoost,0,183362.76716441708,Y,Spyder,Books
100066,2018,NG,Masters,Business Analyst,Java,TensorFlow,4,"$98,059",Y,JupyterLab,Books
100067,2021,IND,Some college,Other,r,None,7,59901.393622455194,Y,Notepad++,Udemy
100068,2017,United Kingdom,Master's,data scientist,r,TensorFlow,10+,"$49,056",Hybrid,JupyterLab,YouTube
100069,2021,U.S.A.,Bachelors,Data Analyst,R,LightGBM;PyTorch,3-5,"$81,746",No,VS Code,University
100070,2021,Germany,BA,Business Analyst,Java,PyTorch;TensorFlow;scikit-learn,1.5,105567.99501676451,Y,Spyder,Blogs
100071,2018,United States,Some college,Data Engineer,,Keras;PyTorch;scikit-learn,10+,242453.03920578162,Y,RStudio,YouTube
100072,2017,Brazil,Doctorate,Data Engineer,R,Keras;PyTorch;TensorFlow,1.5,"$106,543",Y,VS Code,University
100073,2021,uk,PhD,Other,sql,LightGBM,3-5,34716.940934256214,Y,PyCharm,YouTube
100074,2020,Brazil,High school,Student,JavaScript,XGBoost,0-1,7903.306720916931,Yes,Notepad++,University
100075,2020,Bangladesh,Some college,Researcher,PYTHON,Keras;scikit-learn,1.5,96547.75937472381,Hybrid,PyCharm,University
100076,2021,uk,BA,Student,r,None;PyTorch,10+,15144.132563548601,Yes,RStudio,Coursera
100077,2017,Brazil,High school,Software Engineer,R,LightGBM;scikit-learn,0-1,70201.40085393915,Yes,PyCharm,Udemy
100078,2019,United States,MSc,Data Analyst,R,PyTorch;TensorFlow;scikit-learn,12,55247.66946334974,No,RStudio,Blogs
100079,2017,United Kingdom,Doctorate,Software Engineer,PYTHON,XGBoost,12,108432.18650834514,Yes,PyCharm,Kaggle
100080,2021,USA,MSc,Data Scientist,r,XGBoost,1.5,74023.01446393947,Y,Notepad++,Udemy
100081,2020,U.S.A.,MSc,Other,R,scikit-learn,10+,42145.973876851385,N,VS Code,Books
100082,2019,BR,Doctorate,Data Scientist,SQL,PyTorch;XGBoost,0,105774.1217588692,Yes,Spyder,Blogs
100083,2017,uk,High school,Student,Java,PyTorch;scikit-learn,0,13192.67375520009,Y,Notepad++,Udemy
100084,2018,Germany,Bachelors,Business Analyst,JS,Keras;XGBoost,7,129125.81085141803,Y,RStudio,University
100085,2019,BR,BS,Software Engineer,R,Keras;None;scikit-learn,4,74291.5444533387,No,RStudio,YouTube
100086,2020,Japan,PhD,Student,SQL,scikit-learn,4,17955.88557688839,Hybrid,PyCharm,University
100087,2020,India,BA,Machine Learning Engineer,SQL,Keras;None;XGBoost,7,,Yes,Spyder,Udemy
100088,2021,U.S.A.,Bachelor's,Student,Java,TensorFlow;XGBoost,4,"$15,758",Y,RStudio,Books
100089,2019,United States,high School,Machine Learning Engineer,R,LightGBM;PyTorch,5-10,183740.2176999549,Hybrid,Notepad++,YouTube
100090,2017,Canada,Master's,Business Analyst,C#,Keras,1.5,"$116,011",N,JupyterLab,Kaggle
100091,2020,AU,Master's,Machine Learning Engineer,r,Keras;TensorFlow,1-3,,No,JupyterLab,Coursera
100092,2021,Brazil,Doctorate,Data Analyst,R,TensorFlow,4,55325.71380972128,Hybrid,Notepad++,YouTube
100093,2020,NG,MSc,Machine Learning Engineer,python,None,5-10,86020.24837398976,Hybrid,PyCharm,Kaggle
100094,2021,BD,BS,Data Scientist,C#,Keras;TensorFlow;scikit-learn,0-1,"$88,953",N,JupyterLab,Blogs
100095,2019,Bangladesh,PhD,Researcher,python,None,0-1,"$91,143",N,JupyterLab,University
100096,2019,Nigeria,Master's,Software Engineer,PYTHON,Keras;scikit-learn,4,131551.87698718882,Yes,VS Code,University
100097,2019,Nigeria,high School,Data Engineer,JS,LightGBM;TensorFlow;scikit-learn,3-5,190845.6746401617,N,JupyterLab,Coursera
100098,2017,IND,,Business Analyst,sql,None;XGBoost,12,96185.04080263956,No,Spyder,University
100099,2017,DE,Diploma/Other,Researcher,r,None;PyTorch;XGBoost,10+,89378.91551432438,N,Spyder,Coursera
100100,2017,Japan,ph.d,data scientist,R,Keras;LightGBM;TensorFlow,1-3,44599.09894156722,No,PyCharm,Udemy
100101,2020,Brazil,high School,Data Analyst,Python,PyTorch,4,31849.62077891853,N,RStudio,Kaggle
100102,2018,US,Bachelor's,Machine Learning Engineer,r,LightGBM,4,102007.00744094321,Yes,Notepad++,Udemy
100103,2019,United Kingdom,Doctorate,Other,JavaScript,LightGBM;TensorFlow,1.5,80894.36180194536,Yes,Spyder,Udemy
100104,2021,JP,Bachelors,Machine Learning Engineer,,scikit-learn,0-1,163779.54471867598,No,JupyterLab,YouTube
100105,2018,BR,Diploma/Other,Machine Learning Engineer,Java,Keras;PyTorch;scikit-learn,1.5,"$213,637",Hybrid,Spyder,YouTube
100106,2019,Nigeria,Master's,data scientist,JavaScript,scikit-learn,1.5,32962.147299995515,Hybrid,Spyder,Kaggle
100107,2020,United States,high School,ML Engineer,JS,LightGBM;None;XGBoost,0-1,93297.01194684011,Hybrid,Spyder,Coursera
100108,2018,BD,Master's,Business Analyst,JS,Keras;PyTorch;TensorFlow,12,"$91,378",Y,Notepad++,Books
100109,2017,Nigeria,high School,Researcher,SQL,Keras;PyTorch,0,,Yes,PyCharm,Kaggle
100110,2018,Germany,ph.d,Researcher,r,LightGBM,1.5,119008.93749950803,N,VS Code,University
100111,2018,U.S.A.,BA,Machine Learning Engineer,SQL,PyTorch;XGBoost;scikit-learn,0-1,116718.19622971388,N,RStudio,University
100112,2021,US,Bachelor's,Business Analyst,,PyTorch;XGBoost,4,"$61,406",Yes,PyCharm,Kaggle
100113,2021,Brazil,Bachelors,Machine Learning Engineer,Java,LightGBM;PyTorch,1-3,58772.75377380111,Yes,Notepad++,YouTube
100114,2020,IND,ph.d,Data Analyst,r,XGBoost,0-1,,N,RStudio,Coursera
100115,2021,IND,Some college,data scientist,Java,LightGBM;TensorFlow;scikit-learn,4,"$60,216",Hybrid,Spyder,Blogs
100116,2021,United Kingdom,Masters,Researcher,Java,PyTorch;TensorFlow,7,"$174,477",No,RStudio,Udemy
100117,2018,Japan,MS,Data Analyst,python,Keras;None;PyTorch,7,68053.4229363293,Hybrid,VS Code,Kaggle
100118,2021,UK,Some college,Data Engineer,JavaScript,LightGBM,4,143596.3776826952,No,RStudio,YouTube
100119,2019,Nigeria,BA,Software Engineer,C#,None,7,"$99,192",Y,RStudio,Kaggle
100120,2021,India,ph.d,ML Engineer,JavaScript,PyTorch,5-10,127950.92820550968,Y,VS Code,Kaggle
100121,2021,Nigeria,ph.d,Student,sql,LightGBM;None;TensorFlow,4,9923.91670242388,Yes,PyCharm,YouTube
100122,2018,BR,BA,data scientist,Java,scikit-learn,7,48088.121052246235,Y,VS Code,Blogs
100123,2017,Bangladesh,Masters,Other,PYTHON,PyTorch;scikit-learn,10+,65240.53411607668,Hybrid,Spyder,Blogs
100124,2018,CAN,PhD,data scientist,SQL,LightGBM;None,7,"$76,501",Y,JupyterLab,Blogs
100125,2019,AU,Diploma/Other,Researcher,C#,scikit-learn,12,"$106,007",Yes,PyCharm,Blogs
100126,2021,Australia,Diploma/Other,Machine Learning Engineer,R,LightGBM;scikit-learn,1.5,67205.31747090505,Yes,Notepad++,Blogs
100127,2021,USA,Master's,Data Analyst,r,None;scikit-learn,0,124424.50667814502,Yes,JupyterLab,Kaggle
100128,2017,Canada,Masters,Data Analyst,R,None;PyTorch;XGBoost,3-5,120308.43554120671,No,PyCharm,Coursera
100129,2019,Japan,Some college,Student,JavaScript,LightGBM;PyTorch;TensorFlow,12,13964.116864780412,No,PyCharm,University
100130,2019,JP,BS,Researcher,r,LightGBM;scikit-learn,4,131550.9378387164,Hybrid,Notepad++,YouTube
100131,2018,BD,high School,Researcher,SQL,Keras;XGBoost,1.5,"$106,835",Hybrid,RStudio,Books
100132,2017,UK,Bachelor's,Student,Java,scikit-learn,5-10,"$17,662",Y,Spyder,Kaggle
100133,2019,BR,BS,Machine Learning Engineer,Python,LightGBM;None,1.5,,Hybrid,VS Code,YouTube
100134,2021,Australia,Doctorate,Data Scientist,JavaScript,LightGBM,4,116221.62212173492,Hybrid,PyCharm,YouTube
100135,2019,Canada,Bachelor's,Other,R,Keras;XGBoost,3-5,74244.0149015228,Yes,Notepad++,Blogs
100136,2019,US,BS,Researcher,Python,Keras;XGBoost,3-5,"$134,614",Yes,JupyterLab,Kaggle
100137,2020,Germany,Bachelors,ML Engineer,PYTHON,Keras;None;XGBoost,7,132348.2457730052,N,JupyterLab,Books
100138,2019,BD,BS,Researcher,r,Keras;LightGBM,1-3,119378.91321870926,Y,VS Code,Udemy
100139,2021,IND,Some college,Other,JS,PyTorch;XGBoost,0,42674.57852863308,Yes,RStudio,Coursera
100140,2021,United Kingdom,MS,data scientist,,Keras,10+,"$56,223",N,RStudio,Books
100141,2018,JP,BA,data scientist,JS,TensorFlow,4,70377.80091526956,Yes,Spyder,YouTube
100142,2019,uk,Diploma/Other,Data Engineer,R,LightGBM;scikit-learn,4,111589.45182990054,Hybrid,Notepad++,University
100143,2018,USA,Bachelors,Data Scientist,Python,Keras,4,160079.76323766558,Yes,VS Code,Udemy
100144,2018,Brazil,Bachelors,Student,Java,Keras,7,15472.749160428859,Y,Spyder,Blogs
100145,2017,Bangladesh,Diploma/Other,Student,JS,PyTorch;XGBoost;scikit-learn,1.5,16072.51545629525,Hybrid,VS Code,Blogs
100146,2020,Canada,Bachelor's,Researcher,Java,Keras;TensorFlow;scikit-learn,0,76797.54912213486,N,Notepad++,Kaggle
100147,2019,US,Masters,Machine Learning Engineer,R,scikit-learn,4,"$207,821",Yes,Notepad++,Udemy
100148,2017,JP,PhD,Data Engineer,Python,Keras;TensorFlow;scikit-learn,3-5,"$171,914",N,PyCharm,Coursera
100149,2018,Brazil,Bachelor's,Data Engineer,R,None,5-10,73086.08801561545,Hybrid,PyCharm,Books
100150,2021,Japan,High school,Machine Learning Engineer,,TensorFlow;XGBoost,10+,115388.39282773848,No,VS Code,Blogs
100151,2018,United States,Bachelors,Data Scientist,SQL,None;TensorFlow,12,81199.56152789423,Hybrid,VS Code,Udemy
100152,2018,United Kingdom,High school,Data Analyst,sql,XGBoost;scikit-learn,1-3,86756.33482613784,Y,RStudio,Books
100153,2019,Canada,MS,Data Engineer,,PyTorch,7,173283.58130554607,No,Spyder,Coursera
100154,2021,Australia,MS,Machine Learning Engineer,Java,LightGBM,0-1,158046.722501781,Yes,RStudio,Books
100155,2018,CAN,Masters,Other,python,PyTorch,4,"$76,042",Yes,VS Code,Kaggle
100156,2020,Japan,Bachelors,data scientist,PYTHON,Keras;XGBoost,12,93925.19629878589,N,Notepad++,Kaggle
100157,2021,CAN,MSc,Business Analyst,r,LightGBM;PyTorch;XGBoost,1.5,170068.95359164412,Yes,Notepad++,Coursera
100158,2018,JP,PhD,Business Analyst,R,None;PyTorch;TensorFlow,1.5,131336.85822093306,Hybrid,RStudio,University
100159,2020,Germany,ph.d,data scientist,SQL,PyTorch,0,51106.44559978451,Hybrid,JupyterLab,Udemy
100160,2019,Australia,Diploma/Other,Researcher,python,scikit-learn,1-3,93457.13876910954,Yes,RStudio,Coursera
100161,2020,Canada,Doctorate,Data Analyst,C#,XGBoost;scikit-learn,7,"$92,402",N,JupyterLab,Blogs
100162,2020,USA,Masters,Software Engineer,JS,None;PyTorch;scikit-learn,10+,193694.08610397356,N,JupyterLab,Kaggle
100163,2019,USA,MSc,Business Analyst,,,5-10,"$57,865",Yes,JupyterLab,Books
100164,2017,Brazil,BA,data scientist,r,PyTorch;TensorFlow;XGBoost,7,52491.129321163324,N,Spyder,Blogs
100165,2021,JP,MS,Data Scientist,JavaScript,LightGBM;None,10+,182339.0235804553,Yes,PyCharm,Kaggle
100166,2019,AU,Doctorate,Machine Learning Engineer,SQL,Keras;scikit-learn,3-5,139131.39530764896,No,Spyder,Blogs
100167,2018,CAN,high School,Data Analyst,JS,None;scikit-learn,7,115718.42202750318,No,RStudio,University
100168,2017,DE,BA,Data Analyst,SQL,Keras;LightGBM;None,12,"$271,941",N,VS Code,Coursera
100169,2020,Bangladesh,Bachelors,Data Engineer,Python,LightGBM;scikit-learn,10+,70703.32058222221,Y,Notepad++,University
100170,2020,Nigeria,MSc,Researcher,sql,Keras;TensorFlow,7,"$106,732",Yes,JupyterLab,University
100171,2017,USA,BS,Other,JS,None;PyTorch;XGBoost,10+,75526.08603232117,Yes,PyCharm,University
100172,2019,Japan,High school,Data Scientist,R,Keras;LightGBM;TensorFlow,10+,188443.82346794792,Hybrid,JupyterLab,Coursera
100173,2018,United States,Master's,Student,PYTHON,PyTorch;TensorFlow;XGBoost,5-10,,N,Spyder,Books
100174,2020,Australia,Doctorate,Software Engineer,python,LightGBM;PyTorch;scikit-learn,1.5,44212.409870316216,Yes,RStudio,Coursera
100175,2018,uk,MSc,Student,JavaScript,LightGBM;None;PyTorch,10+,"$16,082",Yes,RStudio,Coursera
100176,2020,uk,Bachelors,Data Engineer,Java,None,0,,Yes,RStudio,Books
100177,2019,USA,Bachelor's,Student,JavaScript,PyTorch,7,"$6,126",Yes,RStudio,Books
100178,2021,UK,ph.d,Software Engineer,R,Keras;TensorFlow;scikit-learn,7,184828.90212381256,Yes,Spyder,YouTube
100179,2017,India,Diploma/Other,Software Engineer,SQL,LightGBM;None;TensorFlow,5-10,92953.9882484899,Yes,PyCharm,Kaggle
100180,2019,India,Bachelors,Data Engineer,PYTHON,LightGBM;None;scikit-learn,3-5,,Y,RStudio,Books
100181,2017,BR,Doctorate,Data Engineer,Java,LightGBM;XGBoost,12,98898.22306557221,Hybrid,Notepad++,Kaggle
100182,2021,Bangladesh,Master's,data scientist,Java,PyTorch,10+,140749.09870377858,Hybrid,Spyder,Coursera
100183,2021,Canada,MS,data scientist,r,PyTorch,4,207881.19458813762,Yes,VS Code,Kaggle
100184,2018,UK,high School,Other,python,XGBoost,12,38078.64920425754,N,RStudio,University
100185,2020,BR,MS,Data Scientist,Java,,12,74975.24522058293,No,JupyterLab,YouTube
100186,2021,Nigeria,MS,Data Analyst,Python,Keras;PyTorch;scikit-learn,1-3,47029.30054581885,N,Notepad++,Udemy
100187,2020,US,Bachelor's,Researcher,Java,LightGBM;None;XGBoost,3-5,79427.88078844426,Hybrid,JupyterLab,Kaggle
100188,2019,CAN,Masters,Software Engineer,JS,Keras;XGBoost;scikit-learn,1-3,74401.85701344135,Hybrid,VS Code,YouTube
100189,2018,Australia,Masters,Machine Learning Engineer,r,LightGBM;None;XGBoost,3-5,87713.91276983998,Hybrid,VS Code,YouTube
100190,2017,Australia,Bachelors,Software Engineer,r,LightGBM;None;PyTorch,3-5,96757.22405554236,N,Notepad++,Coursera
100191,2021,UK,MS,Student,JS,Keras;None,3-5,9583.149958966056,N,VS Code,Blogs
100192,2021,Australia,Masters,Business Analyst,SQL,scikit-learn,0,108633.00305785621,Hybrid,PyCharm,Udemy
100193,2020,uk,Doctorate,Researcher,R,LightGBM;None;TensorFlow,1-3,"$121,403",Hybrid,VS Code,YouTube
100194,2019,Brazil,Some college,Business Analyst,Python,LightGBM,0,86315.35376603718,N,PyCharm,YouTube
100195,2019,CAN,Bachelors,Data Analyst,PYTHON,LightGBM;None,12,91337.35199176932,No,Notepad++,University
100196,2020,US,Masters,Software Engineer,JS,LightGBM;PyTorch;TensorFlow,12,"$105,600",Hybrid,Notepad++,Books
100197,2021,DE,Bachelor's,Business Analyst,R,Keras;PyTorch,5-10,65994.44363392939,Hybrid,Notepad++,YouTube
100198,2021,DE,Master's,Machine Learning Engineer,,None;XGBoost,1.5,115942.58515322489,No,PyCharm,Books
100199,2021,Japan,Bachelors,Machine Learning Engineer,Python,LightGBM,4,137715.70404252157,Hybrid,Spyder,Coursera
100200,2020,AU,Some college,Business Analyst,python,Keras;scikit-learn,3-5,84302.2035192294,Hybrid,RStudio,YouTube
100201,2017,Bangladesh,Some college,Student,python,TensorFlow,4,14112.010041704567,Hybrid,VS Code,University
100202,2018,US,Masters,Business Analyst,SQL,TensorFlow,1.5,,Yes,JupyterLab,Udemy
100203,2021,United States,BA,data scientist,JS,Keras;TensorFlow,3-5,85393.91558043442,Yes,JupyterLab,Books
100204,2020,Nigeria,ph.d,Data Analyst,Java,PyTorch;XGBoost;scikit-learn,1-3,92275.94670844817,Yes,JupyterLab,Udemy
100205,2017,Bangladesh,MS,Data Engineer,C#,Keras;PyTorch;scikit-learn,5-10,138250.96592695906,Hybrid,VS Code,Coursera
100206,2017,IND,Masters,Other,JavaScript,PyTorch,1-3,51790.475898410965,Yes,RStudio,YouTube
100207,2020,Brazil,High school,Other,C#,LightGBM;TensorFlow;XGBoost,10+,96665.88243487028,Y,VS Code,YouTube
100208,2017,Canada,Bachelor's,Data Engineer,sql,LightGBM;TensorFlow;scikit-learn,7,117429.88279971537,Hybrid,VS Code,YouTube
100209,2018,Brazil,MS,Business Analyst,C#,PyTorch;scikit-learn,4,66769.50975630045,Yes,Notepad++,University
100210,2020,Canada,BS,Data Scientist,SQL,Keras;None;scikit-learn,5-10,90188.94319845861,Yes,Spyder,Blogs
100211,2020,uk,Bachelors,Data Scientist,SQL,Keras;TensorFlow;XGBoost,4,129079.04126371785,Y,Notepad++,Udemy
100212,2020,Bangladesh,high School,Researcher,Python,Keras;TensorFlow,0-1,"$92,747",No,VS Code,Kaggle
100213,2018,UK,MS,Student,C#,Keras;PyTorch,0-1,6898.438424088741,No,JupyterLab,Kaggle
100214,2020,US,Some college,Other,SQL,Keras;None;scikit-learn,1.5,40783.8574672519,Y,Notepad++,University
100215,2018,CAN,BA,Data Analyst,Java,,4,90711.45894072046,Hybrid,Spyder,Kaggle
100216,2019,U.S.A.,ph.d,Student,python,PyTorch;TensorFlow;XGBoost,7,18328.606551754063,Hybrid,JupyterLab,Coursera
100217,2020,U.S.A.,BA,Other,r,Keras;PyTorch;XGBoost,1.5,,No,Notepad++,University
100218,2020,Canada,Master's,Data Scientist,SQL,Keras;PyTorch;XGBoost,0-1,55295.66959703742,Yes,Notepad++,Blogs
100219,2021,CAN,BA,Business Analyst,JS,None;TensorFlow;scikit-learn,12,"$139,372",Y,VS Code,Udemy
100220,2020,U.S.A.,Bachelor's,Other,SQL,Keras,1.5,43858.710815883416,N,VS Code,YouTube
100221,2020,Bangladesh,PhD,Researcher,SQL,Keras,4,78020.71564529582,Yes,Spyder,Udemy
100222,2017,NG,BA,Student,SQL,Keras;LightGBM;TensorFlow,1-3,,Yes,Notepad++,Udemy
100223,2019,Nigeria,MS,Student,C#,scikit-learn,10+,"$20,114",Hybrid,Notepad++,University
100224,2018,India,MSc,Machine Learning Engineer,Java,None;TensorFlow;scikit-learn,1-3,94471.69253798889,Y,PyCharm,Blogs
100225,2018,DE,high School,Other,SQL,Keras;LightGBM;scikit-learn,7,"$58,681",N,JupyterLab,Kaggle
100226,2021,BD,ph.d,Other,PYTHON,None,0,46134.576686137705,N,PyCharm,Coursera
100227,2019,India,Doctorate,Data Analyst,R,,0,800000,N,Spyder,Kaggle
100228,2021,DE,Doctorate,Business Analyst,PYTHON,XGBoost;scikit-learn,1-3,93376.3547223415,Hybrid,RStudio,Blogs
100229,2020,Nigeria,MS,Student,sql,None;XGBoost,1-3,25472.60202615879,No,JupyterLab,Blogs
100230,2021,U.S.A.,Master's,Researcher,JS,Keras;TensorFlow;XGBoost,7,99844.21398672821,N,PyCharm,Books
100231,2019,Bangladesh,Masters,Business Analyst,Python,None;scikit-learn,7,99959.58305443676,No,JupyterLab,Udemy
100232,2020,BD,BA,ML Engineer,SQL,XGBoost,10+,92034.35013918718,Yes,JupyterLab,Udemy
100233,2019,JP,MS,Machine Learning Engineer,PYTHON,Keras;LightGBM;XGBoost,7,98271.02552121854,Yes,Spyder,Blogs
100234,2018,BD,MSc,Data Engineer,PYTHON,LightGBM;TensorFlow,12,88777.24630529631,N,JupyterLab,Books
100235,2020,BR,High school,Data Scientist,python,LightGBM;scikit-learn,12,148684.75969924865,Hybrid,Notepad++,Udemy
