respondent_id,year,country_raw,education_raw,job_role_raw,primary_language_raw,ml_tools_raw,years_experience_raw,salary_usd_raw,remote_work_raw,preferred_ide_raw,learning_platform_raw,country,education,job_role,primary_language,remote_work,years_experience,salary_usd,ml_tools_list,ml_tool_count,country_le,education_le,job_role_le,primary_language_le,remote_work_le
100010,2017,uk,Some college,Data Scientist,R,None;scikit-learn,0,,Y,JupyterLab,Coursera,United Kingdom,Some College,Data Scientist,R,Yes,0.0,87557.46673558994,"['None', 'scikit-learn']",2,8,5,3,4,2
100011,2021,India,Diploma/Other,Data Engineer,SQL,LightGBM;TensorFlow,4,73510.4128892617,Y,Notepad++,University,India,Other,Data Engineer,SQL,Yes,4.0,73510.4128892617,"['LightGBM', 'TensorFlow']",2,5,4,2,5,2
100012,2021,Bangladesh,BS,Data Analyst,R,LightGBM;None;XGBoost,10+,44918.41380967157,N,RStudio,YouTube,Bangladesh,Bachelor's,Data Analyst,R,No,12.0,44918.41380967157,"['LightGBM', 'None', 'XGBoost']",3,1,0,1,4,1
100013,2018,CAN,BA,ML Engineer,PYTHON,XGBoost,4,"$173,036",Yes,VS Code,Books,Canada,Bachelor's,ML Engineer,Python,Yes,4.0,173036.0,['XGBoost'],1,3,0,4,3,2
100014,2018,USA,Bachelors,Other,PYTHON,LightGBM;None;PyTorch,12,37467.18952320064,Yes,RStudio,University,United States,Bachelor's,Other,Python,Yes,12.0,37467.18952320064,"['LightGBM', 'None', 'PyTorch']",3,9,0,5,3,2
100015,2018,Japan,Master's,Business Analyst,r,XGBoost;scikit-learn,1-3,113415.31637401039,N,JupyterLab,Books,Japan,Master's,Business Analyst,R,No,2.0,113415.31637401039,"['XGBoost', 'scikit-learn']",2,6,3,0,4,1
100016,2018,JP,BA,data scientist,r,PyTorch,3-5,"$84,526",Y,VS Code,Blogs,Japan,Bachelor's,Data Scientist,R,Yes,4.0,84526.0,['PyTorch'],1,6,0,3,4,2
100017,2019,United Kingdom,MS,Data Analyst,C#,Keras;LightGBM;scikit-learn,7,57962.18859026426,N,PyCharm,Udemy,United Kingdom,Master's,Data Analyst,C#,No,7.0,57962.18859026426,"['Keras', 'LightGBM', 'scikit-learn']",3,8,3,1,0,1
100018,2019,Canada,Doctorate,Data Analyst,C#,None,7,82133.18322205597,Yes,Spyder,Kaggle,Canada,Doctorate,Data Analyst,C#,Yes,7.0,82133.18322205597,[],0,3,1,1,0,2
100019,2018,Nigeria,High school,data scientist,SQL,Keras;None,5-10,107550.7428853879,Yes,PyCharm,YouTube,Nigeria,High School or Less,Data Scientist,SQL,Yes,7.5,107550.7428853879,"['Keras', 'None']",2,7,2,3,5,2
100020,2020,U.S.A.,high School,Researcher,python,None,7,47329.68979195902,No,PyCharm,Blogs,United States,High School or Less,Researcher,Python,No,7.0,47329.68979195902,[],0,9,2,6,3,1
100021,2017,Nigeria,MS,Data Analyst,r,None;XGBoost,1.5,95566.6203046174,No,Spyder,Books,Nigeria,Master's,Data Analyst,R,No,1.5,95566.6203046174,"['None', 'XGBoost']",2,7,3,1,4,1
100022,2018,AU,Bachelor's,Machine Learning Engineer,sql,LightGBM;None,0,152515.7835670182,Y,Spyder,University,Australia,Bachelor's,ML Engineer,SQL,Yes,0.0,152515.7835670182,"['LightGBM', 'None']",2,0,0,4,5,2
100023,2019,USA,Bachelor's,ML Engineer,python,Keras;scikit-learn,12,"$148,020",N,PyCharm,YouTube,United States,Bachelor's,ML Engineer,Python,No,12.0,148020.0,"['Keras', 'scikit-learn']",2,9,0,4,3,1
100024,2019,IND,High school,data scientist,JS,TensorFlow;scikit-learn,1-3,"$77,395",Yes,JupyterLab,Coursera,India,High School or Less,Data Scientist,JavaScript,Yes,2.0,77395.0,"['TensorFlow', 'scikit-learn']",2,5,2,3,2,2
100025,2021,NG,Bachelor's,Machine Learning Engineer,JS,PyTorch,5-10,120042.51804487246,N,PyCharm,Blogs,Nigeria,Bachelor's,ML Engineer,JavaScript,No,7.5,120042.51804487246,['PyTorch'],1,7,0,4,2,1
100026,2018,BR,MSc,Researcher,R,LightGBM;None;PyTorch,5-10,"$58,934",Yes,VS Code,Blogs,Brazil,Master's,Researcher,R,Yes,7.5,58934.0,"['LightGBM', 'None', 'PyTorch']",3,2,3,6,4,2
100027,2019,Germany,BA,Student,sql,LightGBM;PyTorch,0-1,18504.709302848256,Yes,VS Code,University,Germany,Bachelor's,Student,SQL,Yes,0.5,18504.709302848256,"['LightGBM', 'PyTorch']",2,4,0,8,5,2
100028,2020,uk,Doctorate,data scientist,R,TensorFlow,5-10,"$61,557",N,RStudio,Udemy,United Kingdom,Doctorate,Data Scientist,R,No,7.5,61557.0,['TensorFlow'],1,8,1,3,4,1
100029,2017,Germany,Bachelors,Machine Learning Engineer,Java,PyTorch;TensorFlow;scikit-learn,7,97606.9668250716,Yes,VS Code,Blogs,Germany,Bachelor's,ML Engineer,Java,Yes,7.0,97606.9668250716,"['PyTorch', 'TensorFlow', 'scikit-learn']",3,4,0,4,1,2
100030,2020,Brazil,Some college,Data Scientist,python,,1.5,71273.49961425735,Y,RStudio,Udemy,Brazil,Some College,Data Scientist,Python,Yes,1.5,71273.49961425735,[],0,2,5,3,3,2
100031,2018,CAN,Diploma/Other,Data Scientist,PYTHON,PyTorch;scikit-learn,1.5,106299.88863517261,Hybrid,RStudio,Kaggle,Canada,Other,Data Scientist,Python,Hybrid,1.5,106299.88863517261,"['PyTorch', 'scikit-learn']",2,3,4,3,3,0
100032,2017,Germany,ph.d,Business Analyst,JS,LightGBM,4,60022.17485890066,No,PyCharm,Kaggle,Germany,Doctorate,Business Analyst,JavaScript,No,4.0,60022.17485890066,['LightGBM'],1,4,1,0,2,1
100033,2021,India,High school,Data Engineer,C#,LightGBM;scikit-learn,0,116729.11283163127,Yes,VS Code,YouTube,India,High School or Less,Data Engineer,C#,Yes,0.0,116729.11283163127,"['LightGBM', 'scikit-learn']",2,5,2,2,0,2
100034,2021,Nigeria,MS,Business Analyst,PYTHON,scikit-learn,7,"$94,128",Yes,PyCharm,Coursera,Nigeria,Master's,Business Analyst,Python,Yes,7.0,94128.0,['scikit-learn'],1,7,3,0,3,2
100035,2021,Japan,high School,Other,R,PyTorch,1-3,46460.65729975356,N,PyCharm,YouTube,Japan,High School or Less,Other,R,No,2.0,46460.65729975356,['PyTorch'],1,6,2,5,4,1
100036,2018,Japan,High school,Data Engineer,python,LightGBM;PyTorch;XGBoost,12,77768.23643033461,N,JupyterLab,Kaggle,Japan,High School or Less,Data Engineer,Python,No,12.0,77768.23643033461,"['LightGBM', 'PyTorch', 'XGBoost']",3,6,2,2,3,1
100037,2017,India,PhD,Software Engineer,R,Keras,1.5,"$112,440",No,Notepad++,Blogs,India,Doctorate,Software Engineer,R,No,1.5,112440.0,['Keras'],1,5,1,7,4,1
100038,2020,UK,Master's,Software Engineer,python,PyTorch;XGBoost;scikit-learn,12,88825.0676701367,Yes,VS Code,YouTube,United Kingdom,Master's,Software Engineer,Python,Yes,12.0,88825.0676701367,"['PyTorch', 'XGBoost', 'scikit-learn']",3,8,3,7,3,2
100039,2019,India,MS,Machine Learning Engineer,PYTHON,Keras,1-3,189881.44303584294,No,JupyterLab,Kaggle,India,Master's,ML Engineer,Python,No,2.0,189881.44303584294,['Keras'],1,5,3,4,3,1
100040,2017,BD,Master's,Business Analyst,r,LightGBM;XGBoost,7,78939.64921610926,Yes,Notepad++,Books,Bangladesh,Master's,Business Analyst,R,Yes,7.0,78939.64921610926,"['LightGBM', 'XGBoost']",2,1,3,0,4,2
100041,2019,Brazil,BS,Other,python,Keras;TensorFlow,1-3,57584.54763687775,Yes,Notepad++,YouTube,Brazil,Bachelor's,Other,Python,Yes,2.0,57584.54763687775,"['Keras', 'TensorFlow']",2,2,0,5,3,2
100042,2017,Bangladesh,BS,Machine Learning Engineer,JavaScript,Keras;LightGBM;TensorFlow,5-10,135476.44587750928,Hybrid,Spyder,University,Bangladesh,Bachelor's,ML Engineer,JavaScript,Hybrid,7.5,135476.44587750928,"['Keras', 'LightGBM', 'TensorFlow']",3,1,0,4,2,0
100043,2021,United Kingdom,Diploma/Other,Data Scientist,python,LightGBM,1.5,"$83,682",Hybrid,VS Code,Coursera,United Kingdom,Other,Data Scientist,Python,Hybrid,1.5,83682.0,['LightGBM'],1,8,4,3,3,0
100044,2018,uk,Doctorate,Data Analyst,JS,Keras;PyTorch;TensorFlow,7,107251.18222768288,Y,Spyder,Coursera,United Kingdom,Doctorate,Data Analyst,JavaScript,Yes,7.0,107251.18222768288,"['Keras', 'PyTorch', 'TensorFlow']",3,8,1,1,2,2
100045,2020,USA,high School,Data Analyst,C#,Keras;scikit-learn,12,60174.62549506414,N,PyCharm,University,United States,High School or Less,Data Analyst,C#,No,12.0,60174.62549506414,"['Keras', 'scikit-learn']",2,9,2,1,0,1
100046,2018,Bangladesh,High school,Machine Learning Engineer,SQL,Keras;None;scikit-learn,5-10,124415.79252726353,No,Notepad++,Coursera,Bangladesh,High School or Less,ML Engineer,SQL,No,7.5,124415.79252726353,"['Keras', 'None', 'scikit-learn']",3,1,2,4,5,1
100047,2019,Canada,Doctorate,Business Analyst,sql,LightGBM;XGBoost,3-5,102554.78184469404,No,PyCharm,Books,Canada,Doctorate,Business Analyst,SQL,No,4.0,102554.78184469404,"['LightGBM', 'XGBoost']",2,3,1,0,5,1
100048,2020,BD,Diploma/Other,Student,Python,LightGBM;TensorFlow,0,23865.490374921177,Y,Notepad++,Books,Bangladesh,Other,Student,Python,Yes,0.0,23865.490374921177,"['LightGBM', 'TensorFlow']",2,1,4,8,3,2
100049,2018,IND,BS,Data Analyst,python,PyTorch,0-1,87224.56150906268,Y,PyCharm,Udemy,India,Bachelor's,Data Analyst,Python,Yes,0.5,87224.56150906268,['PyTorch'],1,5,0,1,3,2
100050,2021,DE,BA,Machine Learning Engineer,R,TensorFlow;scikit-learn,5-10,135522.8745030656,Y,JupyterLab,Kaggle,Germany,Bachelor's,ML Engineer,R,Yes,7.5,135522.8745030656,"['TensorFlow', 'scikit-learn']",2,4,0,4,4,2
100051,2021,U.S.A.,Doctorate,Machine Learning Engineer,SQL,LightGBM;PyTorch;XGBoost,7,135783.59076596165,Hybrid,VS Code,Coursera,United States,Doctorate,ML Engineer,SQL,Hybrid,7.0,135783.59076596165,"['LightGBM', 'PyTorch', 'XGBoost']",3,9,1,4,5,0
100052,2021,United Kingdom,Bachelors,Data Engineer,r,None;scikit-learn,12,"$65,111",Y,JupyterLab,Blogs,United Kingdom,Bachelor's,Data Engineer,R,Yes,12.0,65111.0,"['None', 'scikit-learn']",2,8,0,2,4,2
100053,2021,uk,Masters,Data Engineer,C#,scikit-learn,1.5,196507.99950903878,N,PyCharm,Kaggle,United Kingdom,Master's,Data Engineer,C#,No,1.5,196507.99950903878,['scikit-learn'],1,8,3,2,0,1
100054,2020,US,ph.d,Student,Python,None;XGBoost,5-10,36139.73139914128,Hybrid,RStudio,Coursera,United States,Doctorate,Student,Python,Hybrid,7.5,36139.73139914128,"['None', 'XGBoost']",2,9,1,8,3,0
100055,2021,Australia,Diploma/Other,Software Engineer,JavaScript,Keras;LightGBM,1-3,97697.84302362059,Hybrid,Spyder,Kaggle,Australia,Other,Software Engineer,JavaScript,Hybrid,2.0,97697.84302362059,"['Keras', 'LightGBM']",2,0,4,7,2,0
100056,2017,Australia,Masters,Software Engineer,sql,LightGBM,10+,81886.91043108847,N,PyCharm,Udemy,Australia,Master's,Software Engineer,SQL,No,12.0,81886.91043108847,['LightGBM'],1,0,3,7,5,1
100057,2018,Germany,PhD,Student,JS,LightGBM,3-5,"$14,307",N,Spyder,Kaggle,Germany,Doctorate,Student,JavaScript,No,4.0,14307.0,['LightGBM'],1,4,1,8,2,1
100058,2017,CAN,MS,Data Scientist,r,Keras;PyTorch;TensorFlow,12,222413.29392672505,N,Notepad++,Kaggle,Canada,Master's,Data Scientist,R,No,12.0,222413.29392672505,"['Keras', 'PyTorch', 'TensorFlow']",3,3,3,3,4,1
100059,2019,DE,Master's,Researcher,JS,TensorFlow,7,154461.50476968838,Y,Notepad++,Udemy,Germany,Master's,Researcher,JavaScript,Yes,7.0,154461.50476968838,['TensorFlow'],1,4,3,6,2,2
100060,2019,Australia,high School,Machine Learning Engineer,C#,LightGBM,12,109861.79392193032,Hybrid,VS Code,Books,Australia,High School or Less,ML Engineer,C#,Hybrid,12.0,109861.79392193032,['LightGBM'],1,0,2,4,0,0
100061,2018,IND,PhD,Machine Learning Engineer,R,None;TensorFlow,3-5,"$143,873",Yes,VS Code,Udemy,India,Doctorate,ML Engineer,R,Yes,4.0,143873.0,"['None', 'TensorFlow']",2,5,1,4,4,2
100062,2021,Nigeria,MSc,data scientist,Java,PyTorch,12,"$91,526",No,Notepad++,Blogs,Nigeria,Master's,Data Scientist,Java,No,12.0,91526.0,['PyTorch'],1,7,3,3,1,1
100063,2019,CAN,Master's,Student,R,LightGBM;TensorFlow,0-1,23045.645344836532,Yes,RStudio,Udemy,Canada,Master's,Student,R,Yes,0.5,23045.645344836532,"['LightGBM', 'TensorFlow']",2,3,3,8,4,2
100064,2018,BD,Doctorate,Business Analyst,Java,scikit-learn,7,122881.60834338742,No,VS Code,University,Bangladesh,Doctorate,Business Analyst,Java,No,7.0,122881.60834338742,['scikit-learn'],1,1,1,0,1,1
100065,2020,Bangladesh,Doctorate,Researcher,JS,LightGBM;None;XGBoost,0,183362.76716441708,Y,Spyder,Books,Bangladesh,Doctorate,Researcher,JavaScript,Yes,0.0,183362.76716441708,"['LightGBM', 'None', 'XGBoost']",3,1,1,6,2,2
100066,2018,NG,Masters,Business Analyst,Java,TensorFlow,4,"$98,059",Y,JupyterLab,Books,Nigeria,Master's,Business Analyst,Java,Yes,4.0,98059.0,['TensorFlow'],1,7,3,0,1,2
100067,2021,IND,Some college,Other,r,None,7,59901.393622455194,Y,Notepad++,Udemy,India,Some College,Other,R,Yes,7.0,59901.393622455194,[],0,5,5,5,4,2
100068,2017,United Kingdom,Master's,data scientist,r,TensorFlow,10+,"$49,056",Hybrid,JupyterLab,YouTube,United Kingdom,Master's,Data Scientist,R,Hybrid,12.0,49056.0,['TensorFlow'],1,8,3,3,4,0
100069,2021,U.S.A.,Bachelors,Data Analyst,R,LightGBM;PyTorch,3-5,"$81,746",No,VS Code,University,United States,Bachelor's,Data Analyst,R,No,4.0,81746.0,"['LightGBM', 'PyTorch']",2,9,0,1,4,1
100070,2021,Germany,BA,Business Analyst,Java,PyTorch;TensorFlow;scikit-learn,1.5,105567.99501676451,Y,Spyder,Blogs,Germany,Bachelor's,Business Analyst,Java,Yes,1.5,105567.99501676451,"['PyTorch', 'TensorFlow', 'scikit-learn']",3,4,0,0,1,2
100071,2018,United States,Some college,Data Engineer,,Keras;PyTorch;scikit-learn,10+,242453.03920578162,Y,RStudio,YouTube,United States,Some College,Data Engineer,Unknown,Yes,12.0,242453.03920578162,"['Keras', 'PyTorch', 'scikit-learn']",3,9,5,2,6,2
100072,2017,Brazil,Doctorate,Data Engineer,R,Keras;PyTorch;TensorFlow,1.5,"$106,543",Y,VS Code,University,Brazil,Doctorate,Data Engineer,R,Yes,1.5,106543.0,"['Keras', 'PyTorch', 'TensorFlow']",3,2,1,2,4,2
100073,2021,uk,PhD,Other,sql,LightGBM,3-5,34716.940934256214,Y,PyCharm,YouTube,United Kingdom,Doctorate,Other,SQL,Yes,4.0,34716.940934256214,['LightGBM'],1,8,1,5,5,2
100074,2020,Brazil,High school,Student,JavaScript,XGBoost,0-1,7903.306720916931,Yes,Notepad++,University,Brazil,High School or Less,Student,JavaScript,Yes,0.5,9590.92149958966,['XGBoost'],1,2,2,8,2,2
100075,2020,Bangladesh,Some college,Researcher,PYTHON,Keras;scikit-learn,1.5,96547.75937472381,Hybrid,PyCharm,University,Bangladesh,Some College,Researcher,Python,Hybrid,1.5,96547.75937472381,"['Keras', 'scikit-learn']",2,1,5,6,3,0
100076,2021,uk,BA,Student,r,None;PyTorch,10+,15144.132563548601,Yes,RStudio,Coursera,United Kingdom,Bachelor's,Student,R,Yes,12.0,15144.132563548601,"['None', 'PyTorch']",2,8,0,8,4,2
100077,2017,Brazil,High school,Software Engineer,R,LightGBM;scikit-learn,0-1,70201.40085393915,Yes,PyCharm,Udemy,Brazil,High School or Less,Software Engineer,R,Yes,0.5,70201.40085393915,"['LightGBM', 'scikit-learn']",2,2,2,7,4,2
100078,2019,United States,MSc,Data Analyst,R,PyTorch;TensorFlow;scikit-learn,12,55247.66946334974,No,RStudio,Blogs,United States,Master's,Data Analyst,R,No,12.0,55247.66946334974,"['PyTorch', 'TensorFlow', 'scikit-learn']",3,9,3,1,4,1
100079,2017,United Kingdom,Doctorate,Software Engineer,PYTHON,XGBoost,12,108432.18650834514,Yes,PyCharm,Kaggle,United Kingdom,Doctorate,Software Engineer,Python,Yes,12.0,108432.18650834514,['XGBoost'],1,8,1,7,3,2
100080,2021,USA,MSc,Data Scientist,r,XGBoost,1.5,74023.01446393947,Y,Notepad++,Udemy,United States,Master's,Data Scientist,R,Yes,1.5,74023.01446393947,['XGBoost'],1,9,3,3,4,2
100081,2020,U.S.A.,MSc,Other,R,scikit-learn,10+,42145.973876851385,N,VS Code,Books,United States,Master's,Other,R,No,12.0,42145.973876851385,['scikit-learn'],1,9,3,5,4,1
100082,2019,BR,Doctorate,Data Scientist,SQL,PyTorch;XGBoost,0,105774.1217588692,Yes,Spyder,Blogs,Brazil,Doctorate,Data Scientist,SQL,Yes,0.0,105774.1217588692,"['PyTorch', 'XGBoost']",2,2,1,3,5,2
100083,2017,uk,High school,Student,Java,PyTorch;scikit-learn,0,13192.67375520009,Y,Notepad++,Udemy,United Kingdom,High School or Less,Student,Java,Yes,0.0,13192.67375520009,"['PyTorch', 'scikit-learn']",2,8,2,8,1,2
100084,2018,Germany,Bachelors,Business Analyst,JS,Keras;XGBoost,7,129125.81085141803,Y,RStudio,University,Germany,Bachelor's,Business Analyst,JavaScript,Yes,7.0,129125.81085141803,"['Keras', 'XGBoost']",2,4,0,0,2,2
100085,2019,BR,BS,Software Engineer,R,Keras;None;scikit-learn,4,74291.5444533387,No,RStudio,YouTube,Brazil,Bachelor's,Software Engineer,R,No,4.0,74291.5444533387,"['Keras', 'None', 'scikit-learn']",3,2,0,7,4,1
100086,2020,Japan,PhD,Student,SQL,scikit-learn,4,17955.88557688839,Hybrid,PyCharm,University,Japan,Doctorate,Student,SQL,Hybrid,4.0,17955.88557688839,['scikit-learn'],1,6,1,8,5,0
100087,2020,India,BA,Machine Learning Engineer,SQL,Keras;None;XGBoost,7,,Yes,Spyder,Udemy,India,Bachelor's,ML Engineer,SQL,Yes,7.0,127994.21227948472,"['Keras', 'None', 'XGBoost']",3,5,0,4,5,2
100088,2021,U.S.A.,Bachelor's,Student,Java,TensorFlow;XGBoost,4,"$15,758",Y,RStudio,Books,United States,Bachelor's,Student,Java,Yes,4.0,15758.0,"['TensorFlow', 'XGBoost']",2,9,0,8,1,2
100089,2019,United States,high School,Machine Learning Engineer,R,LightGBM;PyTorch,5-10,183740.2176999549,Hybrid,Notepad++,YouTube,United States,High School or Less,ML Engineer,R,Hybrid,7.5,183740.2176999549,"['LightGBM', 'PyTorch']",2,9,2,4,4,0
100090,2017,Canada,Master's,Business Analyst,C#,Keras,1.5,"$116,011",N,JupyterLab,Kaggle,Canada,Master's,Business Analyst,C#,No,1.5,116011.0,['Keras'],1,3,3,0,0,1
100091,2020,AU,Master's,Machine Learning Engineer,r,Keras;TensorFlow,1-3,,No,JupyterLab,Coursera,Australia,Master's,ML Engineer,R,No,2.0,127994.21227948472,"['Keras', 'TensorFlow']",2,0,3,4,4,1
100092,2021,Brazil,Doctorate,Data Analyst,R,TensorFlow,4,55325.71380972128,Hybrid,Notepad++,YouTube,Brazil,Doctorate,Data Analyst,R,Hybrid,4.0,55325.71380972128,['TensorFlow'],1,2,1,1,4,0
100093,2020,NG,MSc,Machine Learning Engineer,python,None,5-10,86020.24837398976,Hybrid,PyCharm,Kaggle,Nigeria,Master's,ML Engineer,Python,Hybrid,7.5,86020.24837398976,[],0,7,3,4,3,0
100094,2021,BD,BS,Data Scientist,C#,Keras;TensorFlow;scikit-learn,0-1,"$88,953",N,JupyterLab,Blogs,Bangladesh,Bachelor's,Data Scientist,C#,No,0.5,88953.0,"['Keras', 'TensorFlow', 'scikit-learn']",3,1,0,3,0,1
100095,2019,Bangladesh,PhD,Researcher,python,None,0-1,"$91,143",N,JupyterLab,University,Bangladesh,Doctorate,Researcher,Python,No,0.5,91143.0,[],0,1,1,6,3,1
100096,2019,Nigeria,Master's,Software Engineer,PYTHON,Keras;scikit-learn,4,131551.87698718882,Yes,VS Code,University,Nigeria,Master's,Software Engineer,Python,Yes,4.0,131551.87698718882,"['Keras', 'scikit-learn']",2,7,3,7,3,2
100097,2019,Nigeria,high School,Data Engineer,JS,LightGBM;TensorFlow;scikit-learn,3-5,190845.6746401617,N,JupyterLab,Coursera,Nigeria,High School or Less,Data Engineer,JavaScript,No,4.0,190845.6746401617,"['LightGBM', 'TensorFlow', 'scikit-learn']",3,7,2,2,2,1
100098,2017,IND,,Business Analyst,sql,None;XGBoost,12,96185.04080263956,No,Spyder,University,India,Unknown,Business Analyst,SQL,No,12.0,96185.04080263956,"['None', 'XGBoost']",2,5,6,0,5,1
100099,2017,DE,Diploma/Other,Researcher,r,None;PyTorch;XGBoost,10+,89378.91551432438,N,Spyder,Coursera,Germany,Other,Researcher,R,No,12.0,89378.91551432438,"['None', 'PyTorch', 'XGBoost']",3,4,4,6,4,1
100100,2017,Japan,ph.d,data scientist,R,Keras;LightGBM;TensorFlow,1-3,44599.09894156722,No,PyCharm,Udemy,Japan,Doctorate,Data Scientist,R,No,2.0,44599.09894156722,"['Keras', 'LightGBM', 'TensorFlow']",3,6,1,3,4,1
100101,2020,Brazil,high School,Data Analyst,Python,PyTorch,4,31849.62077891853,N,RStudio,Kaggle,Brazil,High School or Less,Data Analyst,Python,No,4.0,31849.62077891853,['PyTorch'],1,2,2,1,3,1
100102,2018,US,Bachelor's,Machine Learning Engineer,r,LightGBM,4,102007.00744094321,Yes,Notepad++,Udemy,United States,Bachelor's,ML Engineer,R,Yes,4.0,102007.00744094321,['LightGBM'],1,9,0,4,4,2
100103,2019,United Kingdom,Doctorate,Other,JavaScript,LightGBM;TensorFlow,1.5,80894.36180194536,Yes,Spyder,Udemy,United Kingdom,Doctorate,Other,JavaScript,Yes,1.5,80894.36180194536,"['LightGBM', 'TensorFlow']",2,8,1,5,2,2
100104,2021,JP,Bachelors,Machine Learning Engineer,,scikit-learn,0-1,163779.54471867598,No,JupyterLab,YouTube,Japan,Bachelor's,ML Engineer,Unknown,No,0.5,163779.54471867598,['scikit-learn'],1,6,0,4,6,1
100105,2018,BR,Diploma/Other,Machine Learning Engineer,Java,Keras;PyTorch;scikit-learn,1.5,"$213,637",Hybrid,Spyder,YouTube,Brazil,Other,ML Engineer,Java,Hybrid,1.5,213637.0,"['Keras', 'PyTorch', 'scikit-learn']",3,2,4,4,1,0
100106,2019,Nigeria,Master's,data scientist,JavaScript,scikit-learn,1.5,32962.147299995515,Hybrid,Spyder,Kaggle,Nigeria,Master's,Data Scientist,JavaScript,Hybrid,1.5,32962.147299995515,['scikit-learn'],1,7,3,3,2,0
100107,2020,United States,high School,ML Engineer,JS,LightGBM;None;XGBoost,0-1,93297.01194684011,Hybrid,Spyder,Coursera,United States,High School or Less,ML Engineer,JavaScript,Hybrid,0.5,93297.01194684011,"['LightGBM', 'None', 'XGBoost']",3,9,2,4,2,0
100108,2018,BD,Master's,Business Analyst,JS,Keras;PyTorch;TensorFlow,12,"$91,378",Y,Notepad++,Books,Bangladesh,Master's,Business Analyst,JavaScript,Yes,12.0,91378.0,"['Keras', 'PyTorch', 'TensorFlow']",3,1,3,0,2,2
100109,2017,Nigeria,high School,Researcher,SQL,Keras;PyTorch,0,,Yes,PyCharm,Kaggle,Nigeria,High School or Less,Researcher,SQL,Yes,0.0,93358.95489298862,"['Keras', 'PyTorch']",2,7,2,6,5,2
100110,2018,Germany,ph.d,Researcher,r,LightGBM,1.5,119008.93749950803,N,VS Code,University,Germany,Doctorate,Researcher,R,No,1.5,119008.93749950803,['LightGBM'],1,4,1,6,4,1
100111,2018,U.S.A.,BA,Machine Learning Engineer,SQL,PyTorch;XGBoost;scikit-learn,0-1,116718.19622971388,N,RStudio,University,United States,Bachelor's,ML Engineer,SQL,No,0.5,116718.19622971388,"['PyTorch', 'XGBoost', 'scikit-learn']",3,9,0,4,5,1
100112,2021,US,Bachelor's,Business Analyst,,PyTorch;XGBoost,4,"$61,406",Yes,PyCharm,Kaggle,United States,Bachelor's,Business Analyst,Unknown,Yes,4.0,61406.0,"['PyTorch', 'XGBoost']",2,9,0,0,6,2
100113,2021,Brazil,Bachelors,Machine Learning Engineer,Java,LightGBM;PyTorch,1-3,58772.75377380111,Yes,Notepad++,YouTube,Brazil,Bachelor's,ML Engineer,Java,Yes,2.0,58772.75377380111,"['LightGBM', 'PyTorch']",2,2,0,4,1,2
