CustomerID,Recency,Frequency,Monetary,Country,R_Score,F_Score,M_Score,Segment
10255,31,8,622.18,United Kingdom,5,4,4,Champions
10256,106,7,582.74,United Kingdom,3,4,3,Needs Attention
10257,116,6,499.59,Norway,3,3,3,Needs Attention
10258,105,4,323.8,United Kingdom,3,1,2,Others
10259,125,8,576.24,USA,3,4,3,Needs Attention
10260,160,4,365.03999999999996,United Kingdom,2,1,2,Hibernating
10261,73,10,1000.2,Germany,4,5,5,Champions
10262,73,5,393.07,United Kingdom,4,2,2,Potential Loyalists
10263,36,10,984.08,United Kingdom,5,5,5,Champions
10264,184,5,860.28,United Kingdom,1,2,5,Others
10265,195,3,171.06,Italy,1,1,1,Lost
10266,146,5,348.5,United Kingdom,2,2,2,Hibernating
10267,81,6,615.78,Germany,4,3,3,Loyal Customers
10268,32,5,698.07,United Kingdom,5,2,4,Potential Loyalists
10269,74,7,609.37,Belgium,4,4,3,Loyal Customers
10270,118,4,293.21000000000004,United Kingdom,3,1,1,Others
10271,128,4,241.10000000000002,United Kingdom,3,1,1,Others
10272,78,6,1043.85,United Kingdom,4,3,5,Loyal Customers
10273,183,7,615.81,United Kingdom,1,4,3,Can't Lose Them
10274,82,9,611.69,United Kingdom,4,5,3,Loyal Customers
10275,146,4,389.46,Denmark,2,1,2,Hibernating
10276,157,7,477.0,United Kingdom,2,4,3,Can't Lose Them
10277,139,9,704.27,United Kingdom,2,5,4,Can't Lose Them
10278,106,6,457.74,United Kingdom,3,3,2,Needs Attention
10279,195,3,410.01,Australia,1,1,2,Lost
10280,148,4,90.42,United Kingdom,2,1,1,Hibernating
10281,100,6,617.6,France,4,3,3,Loyal Customers
10282,139,7,609.0699999999999,United Kingdom,2,4,3,Can't Lose Them
10283,160,8,671.58,Austria,2,4,4,Can't Lose Them
10284,101,8,630.76,Finland,3,4,4,Needs Attention
10285,167,2,75.94,United Kingdom,1,1,1,Lost
10286,132,3,140.25,United Kingdom,2,1,1,Hibernating
10287,163,5,620.97,Spain,1,2,4,Others
10288,112,3,207.15,United Kingdom,3,1,1,Others
10289,55,8,963.14,Austria,5,4,5,Champions
10290,147,4,257.88,Netherlands,2,1,1,Hibernating
10291,8,7,912.11,France,5,4,5,Champions
10292,114,12,1292.98,France,3,5,5,Needs Attention
10293,103,8,455.6,France,3,4,2,Needs Attention
10294,52,6,905.53,United Kingdom,5,3,5,Loyal Customers
10295,37,8,915.37,United Kingdom,5,4,5,Champions
10296,150,3,285.69,Denmark,2,1,1,Hibernating
10297,53,7,688.6,United Kingdom,5,4,4,Champions
10298,185,2,266.65,Norway,1,1,1,Lost
10299,141,7,549.34,United Kingdom,2,4,3,Can't Lose Them
10300,66,7,462.97,United Kingdom,5,4,2,Loyal Customers
10301,118,6,742.46,United Kingdom,3,3,4,Needs Attention
10302,28,6,600.7,Belgium,5,3,3,Loyal Customers
10303,172,2,251.27,United Kingdom,1,1,1,Lost
10304,119,8,845.86,United Kingdom,3,4,5,Needs Attention
10305,154,3,432.67,Netherlands,2,1,2,Hibernating
10306,135,10,1127.48,United Kingdom,2,5,5,Can't Lose Them
10307,74,10,807.86,United Kingdom,4,5,5,Champions
10308,80,7,762.23,United Kingdom,4,4,4,Champions
10309,80,8,649.6600000000001,United Kingdom,4,4,4,Champions
10310,57,5,494.63,Belgium,5,2,3,Potential Loyalists
10311,199,6,786.91,United Kingdom,1,3,4,At Risk
10312,74,6,564.11,France,4,3,3,Loyal Customers
10313,187,7,674.13,United Kingdom,1,4,4,Can't Lose Them
10314,70,9,821.29,Germany,5,5,5,Champions
10315,153,7,628.01,United Kingdom,2,4,4,Can't Lose Them
10316,152,5,351.23,United Kingdom,2,2,2,Hibernating
10317,150,6,875.01,Switzerland,2,3,5,At Risk
10318,291,2,51.08,United Kingdom,1,1,1,Lost
10319,119,6,535.22,United Kingdom,3,3,3,Needs Attention
10320,154,6,530.1,United Kingdom,2,3,3,At Risk
10321,103,10,938.3100000000001,United Kingdom,3,5,5,Needs Attention
10322,72,9,953.67,United Kingdom,5,5,5,Champions
10323,21,7,923.34,United Kingdom,5,4,5,Champions
10324,158,7,827.41,United Kingdom,2,4,5,Can't Lose Them
10325,70,9,943.72,United Kingdom,5,5,5,Champions
10326,49,12,881.05,United Kingdom,5,5,5,Champions
10327,203,4,492.68,United Kingdom,1,1,3,Lost
10328,338,1,76.59,USA,1,1,1,Lost
10329,220,2,49.94,United Kingdom,1,1,1,Lost
10330,137,8,918.1,United Kingdom,2,4,5,Can't Lose Them
10331,169,5,349.24,Australia,1,2,2,Hibernating
10332,95,6,498.87,Sweden,4,3,3,Loyal Customers
10333,88,7,682.91,Spain,4,4,4,Champions
10334,69,7,685.66,Netherlands,5,4,4,Champions
10335,88,2,175.04,Singapore,4,1,1,Promising
10336,153,6,566.29,France,2,3,3,At Risk
10337,155,7,884.0799999999999,United Kingdom,2,4,5,Can't Lose Them
10338,62,8,707.34,United Kingdom,5,4,4,Champions
10339,63,6,659.62,United Kingdom,5,3,4,Loyal Customers
10340,145,5,536.92,Ireland,2,2,3,Others
10341,230,6,571.8199999999999,United Kingdom,1,3,3,At Risk
10342,77,6,428.08,United Kingdom,4,3,2,Loyal Customers
10343,95,8,749.65,United Kingdom,4,4,4,Champions
10344,242,6,707.76,Spain,1,3,4,At Risk
10345,144,6,531.9499999999999,Spain,2,3,3,At Risk
10346,147,7,868.13,United Kingdom,2,4,5,Can't Lose Them
10347,155,8,826.72,United Kingdom,2,4,5,Can't Lose Them
10348,138,5,800.31,United Kingdom,2,2,4,Others
10349,133,4,330.85,United Kingdom,2,1,2,Hibernating
10350,72,7,475.39,United Kingdom,5,4,3,Loyal Customers
10351,118,7,720.9300000000001,United Kingdom,3,4,4,Needs Attention
10352,85,7,453.89,Sweden,4,4,2,Loyal Customers
10353,42,11,1142.68,United Kingdom,5,5,5,Champions
10354,59,9,1044.0,United Kingdom,5,5,5,Champions
10355,147,3,317.22,United Kingdom,2,1,1,Hibernating
10356,160,2,212.58,United Kingdom,2,1,1,Hibernating
10357,172,6,547.64,France,1,3,3,At Risk
10358,182,4,432.65999999999997,United Kingdom,1,1,2,Lost
10359,181,6,608.38,Finland,1,3,3,At Risk
10360,229,3,454.16999999999996,United Kingdom,1,1,2,Lost
10361,94,3,266.73,Netherlands,4,1,1,Promising
10362,95,8,791.95,Germany,4,4,4,Champions
10363,186,6,751.04,United Kingdom,1,3,4,At Risk
10364,34,5,318.65,United Kingdom,5,2,1,Others
10365,48,6,524.58,United Kingdom,5,3,3,Loyal Customers
10366,124,5,251.20999999999998,United Kingdom,3,2,1,Needs Attention
10367,84,3,463.0,Japan,4,1,2,Promising
10368,113,7,520.83,United Kingdom,3,4,3,Needs Attention
10369,186,2,180.35,United Kingdom,1,1,1,Lost
10370,90,7,544.54,Spain,4,4,3,Loyal Customers
10371,187,6,555.71,United Kingdom,1,3,3,At Risk
10372,187,5,566.96,United Kingdom,1,2,3,Others
10373,110,7,533.78,United Kingdom,3,4,3,Needs Attention
10374,174,4,306.86,United Kingdom,1,1,1,Lost
10375,99,7,584.77,United Kingdom,4,4,3,Loyal Customers
10376,120,8,846.4,Portugal,3,4,5,Needs Attention
10377,105,1,51.760000000000005,Ireland,3,1,1,Others
10378,101,6,830.0,United Kingdom,3,3,5,Needs Attention
10379,164,6,242.58,United Kingdom,1,3,1,At Risk
10380,103,7,882.14,Germany,3,4,5,Needs Attention
10381,93,10,1238.84,Norway,4,5,5,Champions
10382,78,3,502.28,Germany,4,1,3,Promising
10383,165,11,996.54,United Kingdom,1,5,5,Can't Lose Them
10384,72,10,1327.98,United Kingdom,5,5,5,Champions
10385,75,3,195.18,Spain,4,1,1,Promising
10386,144,2,274.33,France,2,1,1,Hibernating
10387,57,5,345.53999999999996,United Kingdom,5,2,2,Potential Loyalists
10388,85,8,921.71,United Kingdom,4,4,5,Champions
10389,90,4,404.84,Switzerland,4,1,2,Promising
10390,72,7,482.26,Australia,5,4,3,Loyal Customers
10391,64,9,462.34000000000003,United Kingdom,5,5,2,Loyal Customers
10392,65,6,533.51,United Kingdom,5,3,3,Loyal Customers
10393,38,6,797.6,Germany,5,3,4,Loyal Customers
10394,111,5,573.78,United Kingdom,3,2,3,Needs Attention
10395,181,4,457.15000000000003,United Kingdom,1,1,2,Lost
10396,160,5,471.76,United Kingdom,2,2,2,Hibernating
10397,60,10,970.09,United Kingdom,5,5,5,Champions
10398,150,4,473.2,United Kingdom,2,1,2,Hibernating
10399,172,8,767.24,Denmark,1,4,4,Can't Lose Them
10400,55,7,943.9399999999999,United Kingdom,5,4,5,Champions
10401,42,5,504.5,United Kingdom,5,2,3,Potential Loyalists
10402,262,3,383.05,Netherlands,1,1,2,Lost
10403,216,3,343.15999999999997,Italy,1,1,2,Lost
10404,73,8,809.41,United Kingdom,4,4,5,Champions
10405,113,4,451.67,Switzerland,3,1,2,Others
10406,58,3,370.09999999999997,United Kingdom,5,1,2,Recent Customers
10407,94,6,725.87,France,4,3,4,Loyal Customers
10408,192,8,548.28,Spain,1,4,3,Can't Lose Them
10409,140,12,1088.59,Australia,2,5,5,Can't Lose Them
10410,139,14,1310.31,United Kingdom,2,5,5,Can't Lose Them
10411,79,11,791.27,United Kingdom,4,5,4,Champions
10412,83,5,537.76,United Kingdom,4,2,3,Potential Loyalists
10413,184,9,1026.04,France,1,5,5,Can't Lose Them
10414,94,5,499.94,Norway,4,2,3,Potential Loyalists
10415,139,5,542.5,France,2,2,3,Others
10416,45,5,736.02,France,5,2,4,Potential Loyalists
10417,147,5,328.45000000000005,United Kingdom,2,2,2,Hibernating
10418,192,3,237.37,Portugal,1,1,1,Lost
10419,102,3,292.32,Australia,3,1,1,Others
10420,95,5,441.51,United Kingdom,4,2,2,Potential Loyalists
10421,102,8,817.49,United Kingdom,3,4,5,Needs Attention
10422,132,5,811.9,Italy,2,2,5,Others
10423,101,8,711.36,Spain,3,4,4,Needs Attention
10424,59,3,271.74,Australia,5,1,1,Recent Customers
10425,102,9,892.14,United Kingdom,3,5,5,Needs Attention
10426,178,8,562.39,Germany,1,4,3,Can't Lose Them
10427,189,6,388.66,United Kingdom,1,3,2,At Risk
10428,146,5,362.65,United Kingdom,2,2,2,Hibernating
10429,95,2,209.05,France,4,1,1,Promising
10430,196,4,433.54999999999995,United Kingdom,1,1,2,Lost
10431,59,7,661.23,United Kingdom,5,4,4,Champions
10432,45,11,1104.98,Ireland,5,5,5,Champions
10433,113,6,482.11,Italy,3,3,3,Needs Attention
10434,45,8,925.24,United Kingdom,5,4,5,Champions
10435,194,7,528.39,Germany,1,4,3,Can't Lose Them
10436,91,7,771.08,United Kingdom,4,4,4,Champions
10437,107,6,405.59,Germany,3,3,2,Needs Attention
10438,110,10,1079.52,United Kingdom,3,5,5,Needs Attention
10439,147,5,299.51,United Kingdom,2,2,1,Hibernating
10440,110,4,297.1,United Kingdom,3,1,1,Others
10441,157,5,631.37,United Kingdom,2,2,4,Others
10442,126,3,322.34,United Kingdom,3,1,2,Others
10443,113,7,493.73,United Kingdom,3,4,3,Needs Attention
10444,56,3,197.09,United Kingdom,5,1,1,Recent Customers
10445,141,7,688.88,United Kingdom,2,4,4,Can't Lose Them
10446,189,8,656.11,Denmark,1,4,4,Can't Lose Them
10447,80,10,1457.73,Ireland,4,5,5,Champions
10448,125,7,878.1099999999999,Spain,3,4,5,Needs Attention
10449,43,10,803.97,United Kingdom,5,5,5,Champions
10450,49,8,718.27,Canada,5,4,4,Champions
10451,222,3,243.23,Netherlands,1,1,1,Lost
10452,138,7,846.35,Germany,2,4,5,Can't Lose Them
10453,170,4,206.11,Netherlands,1,1,1,Lost
10454,96,5,454.61,United Kingdom,4,2,2,Potential Loyalists
10455,135,3,416.76,United Kingdom,2,1,2,Hibernating
10456,166,4,320.78999999999996,United Kingdom,1,1,2,Lost
10457,74,9,734.3399999999999,United Kingdom,4,5,4,Champions
10458,29,4,150.52,United Kingdom,5,1,1,Recent Customers
10459,187,5,506.92,Spain,1,2,3,Others
10460,114,6,625.44,United Kingdom,3,3,4,Needs Attention
10461,208,6,511.49,United Kingdom,1,3,3,At Risk
10462,201,4,140.66,Norway,1,1,1,Lost
10463,108,8,1039.27,United Kingdom,3,4,5,Needs Attention
10464,106,5,402.90999999999997,Germany,3,2,2,Needs Attention
10465,257,2,150.26000000000002,Germany,1,1,1,Lost
10466,143,3,634.8499999999999,Australia,2,1,4,Others
10467,164,6,294.32,United Kingdom,1,3,1,At Risk
10468,78,5,394.23,Denmark,4,2,2,Potential Loyalists
10469,97,12,714.52,Austria,4,5,4,Champions
10470,114,11,1293.19,France,3,5,5,Needs Attention
10471,167,2,135.56,Germany,1,1,1,Lost
10472,145,7,768.34,Netherlands,2,4,4,Can't Lose Them
10473,98,11,1216.72,France,4,5,5,Champions
10474,123,4,311.82,United Kingdom,3,1,1,Others
